id,unix_time,gps_x_dec,gps_y_dec,wojewodztwo,miejscowosc,ulica,predkosc_dopuszczalna,rodzaj_nawierzchni,warunki_atmosferyczne,obszar_zabudowany,czy_sygnalizacja_swietlna
106658697,1515144300.0,15.709277777777777,51.803,WOJ. LUBUSKIE,NOWA SÓL,KRÓLOWEJ JADWIGI,50,01,04,01,03
106659108,1515160200.0,15.209666666666665,52.734722222222224,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,MYŚLIBORSKA,50,01,04,01,03
106659391,1515174720.0,15.567361111111111,52.44186111111111,WOJ. LUBUSKIE,MIĘDZYRZECZ,KOPERNIKA,50,01,05,01,03
106660017,1515166500.0,15.61586111111111,52.069388888888895,WOJ. LUBUSKIE,,,90,01,01,02,03
106659048,1515157200.0,15.249749999999999,52.74447222222222,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WALCZAKA,50,01,04,01,03
106659116,1515162300.0,15.232666666666667,52.751916666666666,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,KAZIMIERZA WIELKIEGO,50,01,04,01,03
106659816,1515154800.0,15.208722222222221,52.75527777777778,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,PIRYTOWA,50,02,04,01,03
106659582,1515184200.0,15.268472222222224,52.75688888888889,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WALCZAKA,50,01,04,01,03
106658802,1515142920.0,15.699694444444445,51.60091666666667,WOJ. LUBUSKIE,NIEGOSŁAWICE,,50,01,01,01,03
106657579,1515142800.0,16.189888888888888,51.831722222222226,WOJ. LUBUSKIE,WYGNAŃCZYCE,,50,01,01,01,03
106658818,1515151260.0,15.533555555555555,52.24677777777778,WOJ. LUBUSKIE,ŚWIEBODZIN,ŁUŻYCKA,50,01,04,01,03
106660191,1515183300.0,15.097472222222223,52.74638888888889,WOJ. LUBUSKIE,,,30,01,04,02,03
106658374,1515108300.0,15.878722222222223,52.37255555555556,WOJ. LUBUSKIE,,,90,01,04,01,03
106660113,1515177780.0,15.549194444444444,51.97591666666667,WOJ. LUBUSKIE,ZIELONA GÓRA,POZNAŃSKA,50,01,01,01,03
106658590,1515141420.0,15.114222222222223,52.442027777777774,WOJ. LUBUSKIE,SULĘCIN,KILIŃSKIEGO,50,01,04,01,03
106659159,1515156960.0,15.60836111111111,52.069611111111115,WOJ. LUBUSKIE,,,120,01,01,02,03
106659594,1515183960.0,15.511555555555555,51.936499999999995,WOJ. LUBUSKIE,ZIELONA GÓRA,WROCŁAWSKA,50,01,01,01,03
106659566,1515175680.0,15.5235,51.939138888888884,WOJ. LUBUSKIE,ZIELONA GÓRA,PODGÓRNA,50,01,01,01,01
106659560,1515173400.0,15.2495,51.79230555555555,WOJ. LUBUSKIE,,,90,01,04,02,03
106659462,1515170220.0,15.48325,51.93427777777777,WOJ. LUBUSKIE,ZIELONA GÓRA,ŁĘŻYCA ODRZAŃSKA,50,01,01,01,03
106658860,1515149040.0,15.515805555555556,51.935249999999996,WOJ. LUBUSKIE,ZIELONA GÓRA,WROCŁAWSKA,50,01,01,01,03
106670319,1515177000.0,15.508888888888889,51.938916666666664,WOJ. LUBUSKIE,ZIELONA GÓRA,KUPIECKA,50,01,04,01,03
106659853,1515156780.0,15.540222222222223,51.56377777777777,WOJ. LUBUSKIE,SZPROTAWA,MŁYNARSKA,50,01,01,01,03
106660211,1515164400.0,15.712416666666666,51.80602777777778,WOJ. LUBUSKIE,NOWA SÓL,OS. KOPERNIKA,30,01,01,02,03
106660399,1515165600.0,15.710694444444444,51.838,WOJ. LUBUSKIE,MODRZYCA,HANDLOWA,50,01,01,01,03
106658859,1515148920.0,15.242055555555554,52.73066666666667,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,PIONIERÓW - PARKING,50,01,01,01,03
106659202,1515166800.0,15.140916666666666,52.78122222222222,WOJ. LUBUSKIE,SANTOCKO,PARKOWA,90,01,04,02,03
106659213,1515167100.0,15.694638888888889,51.807027777777776,WOJ. LUBUSKIE,NOWA SÓL,CHAŁUBIŃSKIEGO,30,01,04,01,03
106659270,1515165600.0,15.23861111111111,52.730694444444445,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,CHROBREGO,50,01,04,01,01
106659406,1515173220.0,15.683833333333334,52.00566666666667,WOJ. LUBUSKIE,,,90,01,05,02,03
106660091,1515177300.0,15.143194444444443,51.645916666666665,WOJ. LUBUSKIE,ŻARY,ZIELONOGÓRSKA,50,01,01,01,03
106659828,1515145860.0,15.562555555555557,51.90002777777778,WOJ. LUBUSKIE,ZIELONA GÓRA,ZAWADA ZIELONOGÓRSKA,50,01,01,01,03
106659169,1515165600.0,14.649722222222222,52.58938888888889,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,PIASTOWSKA,50,01,04,01,03
106659151,1515165600.0,15.276000000000002,52.76283333333333,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WALCZAKA,50,01,01,01,03
106658988,1515158400.0,15.236194444444443,52.74491666666667,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,KS. ANDRZEJEWSKIEGO,50,01,01,01,03
106659037,1515163500.0,14.649722222222222,52.58938888888889,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,PIASTOWSKA,50,01,04,01,03
106658970,1515158400.0,15.252472222222222,52.74236111111111,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,POMORSKA,50,01,01,01,03
106659912,1515163500.0,14.639888888888889,52.60733333333334,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,NARUTOWICZA,50,01,01,01,03
106661070,1515272640.0,14.64875,52.3075,WOJ. LUBUSKIE,ŚWIECKO,,30,01,01,01,03
106661030,1515265200.0,15.86,51.76452777777778,WOJ. LUBUSKIE,RÓŻANÓWKA,,70,01,01,02,03
106670491,1515240000.0,15.717805555555556,51.79991666666667,WOJ. LUBUSKIE,NOWA SÓL,WROCŁAWSKA,50,01,01,01,03
106660809,1515240360.0,15.561805555555557,52.25188888888889,WOJ. LUBUSKIE,,,70,01,01,02,03
106660408,1515254100.0,15.245861111111111,52.64994444444444,WOJ. LUBUSKIE,KRASOWIEC,,50,01,01,01,03
106660250,1515196320.0,15.553194444444445,51.921861111111106,WOJ. LUBUSKIE,,,50,01,04,01,03
106660390,1515255360.0,14.954166666666666,51.781777777777776,WOJ. LUBUSKIE,LUBSKO,ROBOTNICZA,50,01,04,01,03
106660303,1515239760.0,15.506611111111111,51.93383333333333,WOJ. LUBUSKIE,ZIELONA GÓRA,SIKORSKIEGO,50,01,01,01,03
106665773,1515263400.0,15.45411111111111,52.247055555555555,WOJ. LUBUSKIE,,,90,01,01,02,03
106660708,1515221820.0,15.522194444444445,52.260416666666664,WOJ. LUBUSKIE,ŚWIEBODZIN,ŁĘGOWSKA,50,01,01,01,03
106660702,1515212640.0,15.353305555555556,52.309888888888885,WOJ. LUBUSKIE,ŁAGÓW,,140,01,01,02,03
106660438,1515274200.0,16.310361111111114,51.80588888888889,WOJ. LUBUSKIE,WSCHOWA,BOCZNA,20,01,05,01,03
106660421,1515269820.0,15.518638888888889,52.58066666666667,WOJ. LUBUSKIE,SKWIERZYNA,MIĘDZYRZECKA,90,01,01,02,03
106660994,1515263400.0,15.768861111111113,51.794333333333334,WOJ. LUBUSKIE,NOWA SÓL,,60,01,05,02,03
106663995,1515238800.0,15.083722222222223,51.55544444444444,WOJ. LUBUSKIE,,,100,01,01,02,03
106660932,1515251100.0,14.647722222222221,52.58905555555556,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,OSIEDLE  MIESZKA I,50,01,01,01,03
106662279,1515255600.0,15.211972222222222,52.73869444444445,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,BACZYŃSKIEGO,50,01,01,01,03
106660965,1515262440.0,14.653472222222222,52.58961111111111,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,SIKORSKIEGO,50,01,01,01,01
